MOF,uptake_ads,uptake_des,heat_ads,heat_des,LISD,LFSD,LISFS,Unit_cell_volume,Density,ASA_A2,ASA_m2_per_cm3,ASA_m2_per_g,NASA_A2,NASA_m2_per_cm3,NASA_m2_per_g,Number_of_channels,Channel_surface_area_A2,Number_of_pockets,AV_A3,AV_Volume_fraction,AV_cm3_per_g,NAV_A3,NAV_Volume_fraction,NAV_cm3_per_g,Channel_volume,Number_of_pockets.1,oms_value,Pocket_volume_A3,Pocket_surface_area_A2,No_of_Channel,Di,Df,Dif,H,Yb,Ir,K,V,Te,Mn,Co,Sr,Bi,Cd,Mg,P,Be,Cl,As,F,Pb,Pr,Mo,I,Er,Fe,Pu,Y,W,Gd,Sn,Se,Cs,B,Ge,C,Si,Ag,Pt,S,Th,Ca,Dy,Au,Rb,Zr,Ho,Br,Sc,Na,U,Pd,Nd,Ni,Np,N,Nb,Ru,Li,Lu,Zn,Hg,Hf,Sb,In,Eu,Ga,Tb,Tm,Sm,O,La,Cr,Ti,Ba,Rh,Ce,Cu,Al,Re
TASZEU_charged,0.554520204404,0.4801981515373,-29.7364,-28.51547,12.15025,10.67196,12.15025,17382.2,0.559582,3168.32,1822.74,3257.32,0.0,0.0,0.0,1,3168.32,0,5788.28,0.333,0.595087,0.0,0.0,0.0,5788.28,0,6,0.0,0.0,1,12.1503,10.672,12.1503,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,6,0,0
NANTII_clean,0.5031791711357,0.4311273432187,-29.4941,-26.97873,9.91343,7.71048,9.8711,9321.01,0.620421,2073.34,2224.38,3585.27,0.0,0.0,0.0,1,2073.34,0,3549.44,0.3808,0.613777,0.0,0.0,0.0,3549.44,0,0,0.0,0.0,1,9.91343,7.71048,9.91343,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,8,0,0,0
XIYYEL_clean,0.4217737846559999,0.3493628857844,-29.79634,-27.07351,8.53697,8.22499,8.53697,3631.67,0.722133,827.524,2278.63,3155.42,0.0,0.0,0.0,1,827.524,0,1262.37,0.3476,0.481352,0.0,0.0,0.0,1262.37,0,0,0.0,0.0,1,8.53697,8.22499,8.53697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0
ic5005374_si_003_clean,0.5611972208667,0.4995770139067,-20.518,-24.65791,21.69765,7.65601,21.69765,30872.1,0.624448,5717.41,1851.97,2965.77,0.0,0.0,0.0,1,5717.41,0,14670.4,0.4752,0.760993,0.0,0.0,0.0,14670.4,0,14,0.0,0.0,1,21.6976,7.65601,21.6976,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0
PEVQOY_clean_h,0.5232925849329,0.4519034774625,-28.20492,-27.75851,14.81279,7.88362,14.81279,16665.4,0.613708,3679.65,2207.96,3597.73,0.0,0.0,0.0,1,3679.65,0,6752.82,0.4052,0.660249,0.0,0.0,0.0,6752.82,0,0,0.0,0.0,1,14.8128,7.88362,14.8128,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0
OKUSUK_clean,0.6180108437897,0.5641137059104,-17.85858,-16.34259,24.78598,13.19796,24.78598,99710.2,0.313235,15459.6,1550.45,4949.81,0.0,0.0,0.0,1,15459.6,0,60843.1,0.6102,1.94806,0.0,0.0,0.0,60843.1,0,48,0.0,0.0,1,24.786,13.198,24.786,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,0,48,0,0
ja512762r_si_002_auto,0.3086335026758,0.2456314812148,-24.64575,-22.62023,13.33261,11.09072,13.3317,8843.76,0.709182,1825.59,2064.27,2910.77,0.0,0.0,0.0,1,1825.59,0,2644.29,0.299,0.421612,0.0,0.0,0.0,2644.29,0,0,0.0,0.0,1,13.3326,11.0907,13.3326,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0
SUNLET_clean,0.4191530834514,0.3529163535713,-26.39931,-24.87191,14.97185,10.09216,14.97185,20216.4,0.621573,3096.04,1531.45,2463.83,0.0,0.0,0.0,1,3096.04,0,6994.88,0.346,0.556652,0.0,0.0,0.0,6994.88,0,16,0.0,0.0,1,14.9718,10.0922,14.9718,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,16,0,0
POTREX_clean,0.6683752036534001,0.5945345215288,-30.63367,-28.22278,15.51583,9.87392,15.51583,11522.0,0.483438,2262.74,1963.84,4062.24,0.0,0.0,0.0,1,2262.74,0,4553.51,0.3952,0.817478,0.0,0.0,0.0,4553.51,0,8,0.0,0.0,1,15.5158,9.87392,15.5158,112,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
WAVROC_clean,0.6375020315379001,0.5631391292852,-30.56173,-28.94858,18.88525,8.13794,18.88525,27705.6,0.52911,5389.37,1945.23,3676.41,0.0,0.0,0.0,1,5389.37,0,11276.2,0.407,0.769217,0.0,0.0,0.0,11276.2,0,12,0.0,0.0,1,18.8852,8.13794,18.8852,240,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0
